timestamp,device_name,fcnt,dr,rssi,snr,channel,co2,humidity,temperature,PM1.0,PM2.5,PM10
134138,MKR1310,0,0,-76,10.0,1,0,0.0,0.0,0,0,0
135637,MKR1310,1,5,-85,9.8,6,0,0.0,0.0,0,0,0
141137,MKR1310,2,5,-96,10.0,3,0,0.0,0.0,0,0,0
142637,MKR1310,3,5,-96,9.0,1,0,0.0,0.0,0,0,0
144137,MKR1310,4,5,-95,8.8,5,0,0.0,0.0,0,0,0
145637,MKR1310,5,5,-82,10.2,6,0,0.0,0.0,0,0,0
151137,MKR1310,6,5,-81,8.8,2,0,0.0,0.0,0,0,0
152637,MKR1310,7,5,-84,10.5,1,0,0.0,0.0,0,0,0
154137,MKR1310,8,5,-83,9.2,5,0,0.0,0.0,0,0,0
155637,MKR1310,9,5,-84,9.2,3,0,0.0,0.0,0,0,0
162637,MKR1310,11,5,-85,8.5,0,0,0.0,0.0,0,0,0
164137,MKR1310,12,5,-84,9.2,1,0,0.0,0.0,0,0,0
165637,MKR1310,13,5,-84,9.8,2,0,0.0,0.0,0,0,0
171138,MKR1310,14,5,-85,9.5,0,0,0.0,0.0,0,0,0
172638,MKR1310,15,5,-85,8.8,5,0,0.0,0.0,0,0,0
174138,MKR1310,16,5,-85,10.8,4,0,0.0,0.0,0,0,0
175638,MKR1310,17,5,-85,10.2,2,0,0.0,0.0,0,0,0
181138,MKR1310,18,5,-84,9.2,2,0,0.0,0.0,0,0,0
182638,MKR1310,19,5,-85,10.8,2,0,0.0,0.0,0,0,0
184138,MKR1310,20,5,-84,9.0,0,0,0.0,0.0,0,0,0
185638,MKR1310,21,5,-87,9.5,1,0,0.0,0.0,0,0,0
191138,MKR1310,22,5,-85,9.5,4,0,0.0,0.0,0,0,0
192638,MKR1310,23,5,-85,9.0,2,0,0.0,0.0,0,0,0
194138,MKR1310,24,5,-87,10.2,0,0,0.0,0.0,0,0,0
195639,MKR1310,25,5,-85,10.8,5,0,0.0,0.0,0,0,0
201139,MKR1310,26,5,-89,10.8,0,0,0.0,0.0,0,0,0
202639,MKR1310,27,5,-87,10.2,2,0,0.0,0.0,0,0,0
204139,MKR1310,28,5,-84,8.8,3,0,0.0,0.0,0,0,0
205639,MKR1310,29,5,-87,9.8,0,0,0.0,0.0,0,0,0
211139,MKR1310,30,5,-85,10.2,6,0,0.0,0.0,0,0,0
212639,MKR1310,31,5,-96,10.2,4,0,0.0,0.0,0,0,0
214139,MKR1310,32,5,-85,10.0,4,0,0.0,0.0,0,0,0
215639,MKR1310,33,5,-85,10.2,4,0,0.0,0.0,0,0,0
221139,MKR1310,34,5,-85,9.8,0,0,0.0,0.0,0,0,0
222639,MKR1310,35,5,-87,10.5,2,0,0.0,0.0,0,0,0
224139,MKR1310,36,5,-85,9.0,3,0,0.0,0.0,0,0,0
225639,MKR1310,37,5,-87,9.0,4,0,0.0,0.0,0,0,0
231139,MKR1310,38,5,-85,10.2,4,0,0.0,0.0,0,0,0
232639,MKR1310,39,5,-85,9.8,1,0,0.0,0.0,0,0,0
234140,MKR1310,40,5,-84,9.2,5,0,0.0,0.0,0,0,0
235640,MKR1310,41,5,-85,9.2,3,0,0.0,0.0,0,0,0
1140,MKR1310,42,5,-87,9.5,0,0,0.0,0.0,0,0,0
2640,MKR1310,43,5,-84,9.8,4,0,0.0,0.0,0,0,0
4140,MKR1310,44,5,-87,8.5,5,0,0.0,0.0,0,0,0
5640,MKR1310,45,5,-87,9.8,3,0,0.0,0.0,0,0,0
11140,MKR1310,46,5,-87,9.8,0,0,0.0,0.0,0,0,0
12640,MKR1310,47,5,-85,9.8,1,0,0.0,0.0,0,0,0
14140,MKR1310,48,5,-87,9.5,1,0,0.0,0.0,0,0,0
